,addressLine,name,pizzaName,price
78,219 S Sandusky Ave,Mamas Pizza,Margherita Pizza,16.7
79,14 Scott Adam Rd,Original Giorgio's,Margherita Pizza,16.95
80,1514 Us 41,Ciao Bella,Pizza Margherita,12.0
81,2500 Moreland Rd,Bravo Cucina Italiana - Willow Grove,Margherita Pizza,11.49
82,415 Grand Ave,Amis Creperie + Cafe,Margherita Pizza Crepe,8.5
83,19 First Ave,Lil' Frankie's,Pizza Margherita,13.95
84,2301 Milbend,The Dining Room @ The Woodlands Resort,Margherita Pizza,15.0
85,9749 N E 119th Way,Brix Wine Café,Margherita Flatbread Pizza,8.0
86,300 S Doheny Dr,Culina,Pizza Margherita,16.0
87,312 S Evergreen Ave,Gia Nina's Pizza,Margherita Pizza,15.25
88,3223 E Camelback Rd,Tommy V's Osteria Pizzeria,Margherita Pizza,8.0
89,825 Hennepin Ave,Palomino Restaurant Rotisseria (reported closed),Margherita Pizza,12.95
90,11981 S Strang Line Rd,Zios Italian Kitchen - Olathe,Margherita Pizza,8.79
91,1150 9th St,Doubletree Hotel Modesto,Flat Bread Pizza Margherita,13.0
92,22 Warren St,Gran Morsi,Margherita Pizza,14.0
93,6280 W Sample Rd,Sal's Italian Ristorante,Pizza Margherita,10.99
